x,y,z
-1.0798e-11,-1.22296e-12,0.194213
4.00265e-08,2.18886e-09,0.194213
0.000150001,-0.000103306,0.192885
0.000208969,-0.000114872,0.192766
0.00020742,-0.000123645,0.19278
0.000213635,-0.000124179,0.192782
0.00024737,-0.000121899,0.192714
0.000346739,-0.000147216,0.192605
0.000413616,-0.000144447,0.192562
0.000578813,-0.000167229,0.192472
0.000669655,-0.000171177,0.192427
0.000823986,-0.000193241,0.192345
0.0009219,-0.000190092,0.192305
0.00108375,-0.000218347,0.192231
0.00117806,-0.00021812,0.192198
0.00132967,-0.000250612,0.19213
0.00141637,-0.000252546,0.192103
0.0015583,-0.000289603,0.192042
0.00164046,-0.000291868,0.19202
0.00179004,-0.000335888,0.191975
0.00187423,-0.000340798,0.191956
0.00202074,-0.000390254,0.191921
0.00209819,-0.000398001,0.191911
0.00223448,-0.000450145,0.191886
0.0023049,-0.000459439,0.191884
0.00243301,-0.00051568,0.191869
0.00249673,-0.000527256,0.191873
0.00261547,-0.000586269,0.191867
0.00267248,-0.000599424,0.191879
0.00278263,-0.000661114,0.191881
0.00283543,-0.000677184,0.191899
0.00293993,-0.000742652,0.191908
0.00298811,-0.000761648,0.191932
0.00308669,-0.000830731,0.191948
0.00313034,-0.000852636,0.191977
0.00322321,-0.000925421,0.191999
0.00326239,-0.000950283,0.192033
0.00334972,-0.00102685,0.192061
0.00338457,-0.00105469,0.1921
0.00346648,-0.00113509,0.192132
0.00349713,-0.00116586,0.192175
0.00357831,-0.00125172,0.192214
0.00361453,-0.00128946,0.192258
0.00370319,-0.00138106,0.192305
0.00374576,-0.00140992,0.192355
0.003852,-0.00151522,0.192412
0.0038919,-0.00155054,0.192471
0.00398582,-0.00165708,0.192539
0.00401713,-0.00169549,0.192607
0.00410263,-0.00180813,0.192687
0.00412876,-0.00184974,0.192762
0.00420529,-0.00196563,0.192851
0.00422358,-0.00201065,0.192935
0.00429135,-0.00213214,0.193035
0.00430393,-0.00218,0.193125
0.00436292,-0.00230573,0.193234
0.00436875,-0.00235707,0.193332
0.0044189,-0.0024873,0.193451
0.00441833,-0.00254194,0.193555
0.00445973,-0.00267656,0.193682
0.00445266,-0.00273455,0.193793
0.00448544,-0.0028736,0.193928
0.00447197,-0.00293493,0.194045
0.00449619,-0.00307843,0.194188
0.00447642,-0.00314313,0.194311
0.00449207,-0.00329097,0.19446
0.00446599,-0.00335898,0.194589
0.00447324,-0.00351128,0.194746
0.00444097,-0.0035826,0.194879
0.00443978,-0.00373922,0.195042
0.00440178,-0.00381459,0.195181
0.00439166,-0.00397514,0.19535
0.00434735,-0.0040538,0.195493
0.00432934,-0.004219,0.195668
0.00427925,-0.004301,0.195815
0.00425306,-0.00447044,0.195995
0.00419686,-0.00455568,0.196147
0.00417531,-0.00473174,0.196335
0.00411402,-0.00482036,0.19649
0.00407297,-0.00499873,0.19668
0.00400585,-0.00509065,0.196839
0.00395685,-0.00527311,0.197032
0.00388391,-0.0053682,0.197194
0.0038271,-0.00555473,0.197391
0.00374839,-0.00565293,0.197556
0.00368382,-0.00584339,0.197757
0.00359938,-0.00594464,0.197924
0.00352711,-0.00613895,0.198128
0.00343706,-0.00624313,0.198297
0.00335514,-0.00644078,0.198499
0.00326021,-0.00655021,0.198673
0.0031694,-0.00674869,0.198875
0.0030669,-0.00686077,0.199048
0.00297175,-0.00706521,0.199248
0.00286438,-0.00718063,0.19942
0.00276153,-0.0073886,0.199619
0.002648,-0.00750718,0.19979
0.00253859,-0.00771943,0.199988
0.00241929,-0.00784139,0.200157
0.00230273,-0.00805748,0.200353
0.00217745,-0.0081827,0.200521
0.00205399,-0.00840274,0.200714
0.00192281,-0.00853123,0.20088
0.00179235,-0.0087551,0.201071
0.00165527,-0.00888693,0.201236
0.00151778,-0.00911453,0.201424
0.00137465,-0.00924954,0.201586
0.00123042,-0.00948112,0.201772
0.00108441,-0.00961794,0.201932
0.000939838,-0.00985641,0.20212
0.000778172,-0.00999433,0.202275
0.000585262,-0.0102276,0.20245
0.000385579,-0.0103683,0.202614
0.000140514,-0.0105942,0.202783
-0.000118347,-0.0107316,0.202943
-0.000387935,-0.0109614,0.203092
-0.000650082,-0.0111242,0.203256
-0.00092603,-0.0113469,0.203398
-0.00118947,-0.0115123,0.203541
-0.0014695,-0.0117358,0.203667
-0.00173615,-0.0119041,0.203797
-0.00201761,-0.0121274,0.203916
-0.00229685,-0.0123055,0.204029
-0.00261383,-0.0125336,0.204123
-0.00290209,-0.0127051,0.204222
-0.00321727,-0.0129807,0.204319
