x,y,z
0,0,0.194213
-0.000822661,0.000864229,0.194214
-0.00755371,-0.00351422,0.197064
0.237009,0.0190891,0.195507
0.464946,0.0301447,0.194627
0.698561,0.0285827,0.194949
0.925785,0.0253674,0.195304
1.16055,0.0262563,0.193962
1.38695,0.021436,0.195515
1.61616,0.0111173,0.195092
1.83788,0.0221518,0.198553
2.05631,0.07144,0.191343
2.18216,0.105772,0.198755
2.27616,0.152743,0.193698
2.35726,0.212039,0.198783
2.42347,0.287257,0.189476
2.47323,0.374846,0.198049
2.51113,0.469501,0.195549
2.54742,0.570435,0.197948
2.57064,0.682229,0.196516
2.58856,0.805339,0.196326
2.60423,0.921996,0.197302
2.62621,1.03333,0.196312
2.63237,1.1864,0.198045
2.63336,1.45669,0.195358
2.63219,1.75762,0.198597
2.62963,2.06022,0.196985
2.61161,2.28773,0.1987
2.57832,2.4199,0.189051
2.52585,2.54013,0.198816
2.45917,2.648,0.1939
2.38011,2.75051,0.198356
2.28467,2.83169,0.194153
2.17223,2.89788,0.197863
2.05864,2.95169,0.197019
1.93922,3.01714,0.196991
1.7559,3.13899,0.19797
1.48907,3.31049,0.197333
1.23418,3.48438,0.198097
0.986552,3.67752,0.19606
0.750549,3.87462,0.19902
0.600779,3.98898,0.19001
0.533582,4.03949,0.198235
0.466302,4.07864,0.190841
0.394746,4.1113,0.198715
0.316612,4.13549,0.189654
0.228612,4.14998,0.198102
0.137557,4.16466,0.195351
0.0402068,4.17948,0.197723
-0.0549775,4.1909,0.196154
-0.149293,4.20892,0.196719
-0.226975,4.20734,0.197336
-0.321622,4.20278,0.195434
-0.408315,4.18711,0.198032
-0.487977,4.15746,0.193309
-0.552805,4.11921,0.198444
-0.612051,4.0706,0.190813
-0.666443,4.01295,0.198591
-0.864201,3.79397,0.199086
-1.04117,3.59225,0.198672
-1.17484,3.43831,0.193199
-1.31768,3.28766,0.198768
-1.45653,3.13719,0.194304
-1.59067,2.97464,0.197967
-1.72268,2.8195,0.196578
-1.86415,2.66633,0.197603
-2.00099,2.51522,0.197413
-2.13596,2.35275,0.196007
-2.26707,2.19702,0.197862
-2.40631,2.04162,0.195005
-2.54124,1.88996,0.198605
-2.67695,1.72866,0.192126
-2.80724,1.57143,0.198572
-2.94169,1.41444,0.193105
-3.07829,1.26172,0.198915
-3.21427,1.10738,0.191905
-3.34449,0.943458,0.198449
-3.47366,0.786081,0.195093
-3.61309,0.631602,0.198347
-3.7488,0.481459,0.196761
-3.89177,0.331116,0.197288
-4.04105,0.194525,0.197177
-4.20319,0.0666345,0.196507
-4.33438,-0.0750912,0.198063
-4.43534,-0.248964,0.194333
-4.50898,-0.427375,0.198721
-4.56559,-0.622112,0.196953
-4.60452,-0.823476,0.198678
-4.59907,-1.02909,0.192041
-4.55829,-1.22441,0.199038
-4.48285,-1.40043,0.198103
-4.37436,-1.56698,0.198573
-4.23718,-1.70059,0.194489
-4.06458,-1.80154,0.197922
-3.88684,-1.87728,0.197227
-3.69346,-1.94789,0.19725
-3.49134,-1.9844,0.197092
-3.28032,-1.98042,0.196555
-3.07146,-1.96912,0.197853
-2.85676,-1.97164,0.194614
-2.76869,-1.97043,0.197294
