x,y,z
-1.63158e-13,-5.21842e-12,0.194213
4.00793e-08,2.14893e-09,0.194213
0.000152031,-0.000104993,0.192885
0.000211294,-0.000116805,0.192766
0.000209778,-0.000125605,0.19278
0.000216026,-0.000126166,0.192782
0.000249983,-0.00012407,0.192714
0.000349738,-0.000149708,0.192605
0.000416987,-0.000147245,0.192562
0.000582694,-0.000170444,0.192472
0.000674022,-0.000174786,0.192427
0.000829028,-0.000197395,0.192345
0.000927552,-0.000194734,0.192305
0.00109025,-0.000223673,0.192231
0.00118533,-0.000224055,0.192197
0.001338,-0.000257394,0.19213
0.00142564,-0.000260075,0.192103
0.00156884,-0.000298162,0.192042
0.00165213,-0.00030133,0.19202
0.00180325,-0.000346586,0.191974
0.00188878,-0.000352571,0.191956
0.00203709,-0.00040349,0.191921
0.0021161,-0.000412499,0.19191
0.00225448,-0.000466351,0.191886
0.00232672,-0.00047711,0.191883
0.00245723,-0.000535323,0.191868
0.00252301,-0.000548583,0.191873
0.0026445,-0.000609852,0.191867
0.00270385,-0.000624923,0.191879
0.00281709,-0.00068917,0.191881
0.00287252,-0.000707403,0.191899
0.00298048,-0.000775746,0.191908
0.00303159,-0.000797167,0.191932
0.00313403,-0.000869459,0.191948
0.00318093,-0.000894061,0.191977
0.00327806,-0.000970406,0.191999
0.00332082,-0.000998251,0.192033
0.00341282,-0.00107874,0.192061
0.00345159,-0.00110986,0.1921
0.00353862,-0.00119457,0.192133
0.00357355,-0.00122893,0.192175
0.00366031,-0.00131949,0.192214
0.00370117,-0.00136115,0.192259
0.00379599,-0.00145797,0.192306
0.00384347,-0.00149098,0.192355
0.00395636,-0.00160194,0.192413
0.00400155,-0.00164174,0.192472
0.0041026,-0.00175438,0.19254
0.0041396,-0.00179762,0.192608
0.00423275,-0.00191681,0.192688
0.00426496,-0.0019636,0.192763
0.00434967,-0.00208652,0.192853
0.00437444,-0.00213707,0.192937
0.00445092,-0.00226606,0.193037
0.00447039,-0.00231983,0.193128
0.00453864,-0.00245357,0.193237
0.00455179,-0.00251119,0.193335
0.00461175,-0.00264992,0.193454
