x,y,z
0,0,0.194213
0.000136611,5.24471e-05,0.194015
0.0891245,0.0033424,0.195125
0.335522,0.0231385,0.196173
0.561723,0.0332988,0.202363
0.794487,0.0324699,0.208741
1.01954,0.0294095,0.222744
1.2537,0.0278099,0.231758
1.4805,0.0230151,0.25349
1.70316,0.0276996,0.271949
1.92709,0.0489552,0.299442
2.11259,0.0910583,0.324147
2.21534,0.139029,0.354245
2.29628,0.199448,0.382077
2.37437,0.274559,0.417683
2.4352,0.365,0.450325
2.48071,0.473095,0.487136
2.51575,0.586816,0.525893
2.55007,0.713318,0.563925
2.57418,0.844679,0.606575
2.59234,0.98686,0.644902
2.61805,1.12136,0.692131
2.62968,1.25425,0.731002
2.63998,1.46594,0.782041
2.65147,1.78721,0.820809
2.65293,2.10754,0.864418
2.64008,2.41128,0.900821
2.63161,2.58504,0.937756
2.60509,2.7193,0.969908
2.54921,2.84331,1.01117
2.48204,2.95055,1.04712
2.39992,3.05067,1.08447
2.3055,3.13148,1.12213
2.19403,3.19921,1.15762
2.08349,3.26138,1.19754
1.96731,3.3332,1.23234
1.72717,3.50893,1.27616
1.46943,3.69696,1.31164
1.22263,3.88695,1.35414
0.982106,4.0906,1.39137
0.754707,4.30266,1.4326
0.683341,4.372,1.46045
0.615911,4.43344,1.51049
0.544197,4.48272,1.54901
0.465054,4.5345,1.59518
0.377493,4.57573,1.63781
0.282313,4.60935,1.68301
0.182694,4.64322,1.72859
0.0805906,4.67869,1.77228
-0.0166412,4.71603,1.81971
-0.108521,4.74928,1.8606
-0.1923,4.76391,1.90986
-0.286321,4.77816,1.94872
-0.372983,4.77975,2.00069
-0.446381,4.76182,2.03609
-0.505798,4.73397,2.09351
-0.554693,4.6927,2.13449
-0.648342,4.59742,2.19043
-0.874897,4.37077,2.23273
-1.02303,4.2029,2.28378
-1.15377,4.06027,2.32833
-1.29348,3.92049,2.3753
-1.42805,3.7835,2.41999
-1.55993,3.63572,2.4636
-1.68756,3.49575,2.50936
-1.82297,3.35709,2.55061
-1.95352,3.22299,2.5971
-2.08462,3.0804,2.63391
-2.21041,2.94442,2.68245
-2.34103,2.81065,2.71901
-2.47287,2.6834,2.7669
-2.60464,2.55583,2.80155
-2.7308,2.422,2.84923
-2.85608,2.29627,2.88622
-2.99188,2.17575,2.93067
-3.12338,2.05859,2.96883
-3.25155,1.93193,3.00976
-3.37729,1.81467,3.0492
-3.51205,1.69944,3.08826
-3.64609,1.59576,3.12929
-3.79291,1.48609,3.16545
-3.94392,1.39086,3.20798
-4.09103,1.29622,3.24539
-4.21163,1.1799,3.2872
-4.30102,1.03926,3.32246
-4.35866,0.884492,3.36669
-4.39406,0.724101,3.40346
-4.41891,0.549806,3.44422
-4.39325,0.381229,3.47699
-4.32187,0.222342,3.51827
-4.21775,0.0941915,3.55405
-4.07943,-0.027866,3.59096
-3.91631,-0.11406,3.62724
-3.7263,-0.168993,3.66266
-3.53095,-0.196876,3.70138
-3.32006,-0.213833,3.73431
-3.1055,-0.199296,3.77286
-2.87939,-0.145473,3.80309
-2.65995,-0.0942269,3.84276
-2.46556,-0.0569524,3.86677
